date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:49	211433/211433	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Nov%202020%2009:34:24%20GMT	https://www.mytraveltalkies.com/admin/include/upload/packages/5fbe2520b19c0taj-mahal-2-1280x720.jpg	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/packages/5fbe2520b19c0taj-mahal-2-1280x720.jpg	(from https://www.mytraveltalkies.com/)
17:20:49	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:49%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/600edeaaa6c4fandaman%209.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/600edeaaa6c4fandaman%209.jpg	(from https://www.mytraveltalkies.com/)
17:20:50	169158/169158	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Jan%202021%2015:02:43%20GMT	https://www.mytraveltalkies.com/admin/include/upload/packages/600edd93929ecandaman%205.jpg	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/packages/600edd93929ecandaman%205.jpg	(from https://www.mytraveltalkies.com/)
17:20:50	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:50%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/5fbe1b24028cftour1.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/5fbe1b24028cftour1.jpg	(from https://www.mytraveltalkies.com/)
17:20:50	101101/101101	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Jan%202021%2015:07:22%20GMT	https://www.mytraveltalkies.com/admin/include/upload/packages/600edeaaa6c4fandaman%209.jpg	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/packages/600edeaaa6c4fandaman%209.jpg	(from https://www.mytraveltalkies.com/)
17:20:50	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:50%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012be5eb87b0Mauritius%20Tour%20(8).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012be5eb87b0Mauritius%20Tour%20(8).png	(from https://www.mytraveltalkies.com/)
17:20:51	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:51%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012bdd31dab7Mauritius%20Tour%20(7).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012bdd31dab7Mauritius%20Tour%20(7).png	(from https://www.mytraveltalkies.com/)
17:20:51	140952/140952	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Nov%202020%2008:51:48%20GMT	https://www.mytraveltalkies.com/admin/include/upload/packages/5fbe1b24028cftour1.jpg	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/packages/5fbe1b24028cftour1.jpg	(from https://www.mytraveltalkies.com/)
17:20:51	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:52%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012bcdde5585Mauritius%20Tour%20(6).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012bcdde5585Mauritius%20Tour%20(6).png	(from https://www.mytraveltalkies.com/)
17:20:52	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:52%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012bc7bcc148Mauritius%20Tour%20(5).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012bc7bcc148Mauritius%20Tour%20(5).png	(from https://www.mytraveltalkies.com/)
17:20:52	310604/310604	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:38:38%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012be5eb87b0Mauritius%20Tour%20(8).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012be5eb87b0Mauritius%20Tour%20(8).png	(from https://www.mytraveltalkies.com/)
17:20:53	341837/341837	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:36:19%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012bdd31dab7Mauritius%20Tour%20(7).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012bdd31dab7Mauritius%20Tour%20(7).png	(from https://www.mytraveltalkies.com/)
17:20:53	338267/338267	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:32:13%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012bcdde5585Mauritius%20Tour%20(6).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012bcdde5585Mauritius%20Tour%20(6).png	(from https://www.mytraveltalkies.com/)
17:20:54	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:54%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012bc17a7b01Mauritius%20Tour%20(4).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012bc17a7b01Mauritius%20Tour%20(4).png	(from https://www.mytraveltalkies.com/)
17:20:54	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:54%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6012bb6d5dd0dMauritius%20Tour%20(3).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6012bb6d5dd0dMauritius%20Tour%20(3).png	(from https://www.mytraveltalkies.com/)
17:20:55	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:55%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/6012d0e6b699dSingapore-.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/6012d0e6b699dSingapore-.jpg	(from https://www.mytraveltalkies.com/)
17:20:55	397967/397967	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:30:35%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012bc7bcc148Mauritius%20Tour%20(5).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012bc7bcc148Mauritius%20Tour%20(5).png	(from https://www.mytraveltalkies.com/)
17:20:56	392439/392439	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:28:55%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012bc17a7b01Mauritius%20Tour%20(4).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012bc17a7b01Mauritius%20Tour%20(4).png	(from https://www.mytraveltalkies.com/)
17:20:56	295/295	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:56%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/6012d22a11094malaysia.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/6012d22a11094malaysia.jpg	(from https://www.mytraveltalkies.com/)
17:20:56	461848/461848	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2013:26:05%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6012bb6d5dd0dMauritius%20Tour%20(3).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6012bb6d5dd0dMauritius%20Tour%20(3).png	(from https://www.mytraveltalkies.com/)
17:20:57	295/295	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:57%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/6012d34916a68bankgoko.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/6012d34916a68bankgoko.jpg	(from https://www.mytraveltalkies.com/)
17:20:57	64986/64986	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jan%202021%2015:07:53%20GMT	https://www.mytraveltalkies.com/admin/include/upload/packages/6012d34916a68bankgoko.jpg	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/packages/6012d34916a68bankgoko.jpg	(from https://www.mytraveltalkies.com/)
17:20:57	295/295	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:58%20GMT	https://mytraveltalkies.com/admin/include/upload/packages/6012d4c19d03amauitius.jpg	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/packages/6012d4c19d03amauitius.jpg	(from https://www.mytraveltalkies.com/)
